City Name,Description,Latitude,Longitude
Afzalpur,Afzalpur,17.19986,76.36018
Ajjampur,Ajjampur,13.72794,76.0068
Aland,Aland,17.56425,76.56854
Alūr,Alūr,12.97805,75.99094
Alnāvar,Alnāvar,15.42727,74.74111
Anekal,Anekal,12.7111,77.69557
Ankola,Ankola,14.66049,74.3047
Annigeri,Annigeri,15.42513,75.4335
Arkalgūd,Arkalgūd,12.76171,76.06035
Arsikere,Arsikere,13.31446,76.25704
Athni,Athni,16.72613,75.06421
Aurād,Aurād,18.25397,77.41761
Bagalkot,Bagalkot,16.18,75.69
Bail-Hongal,Bail-Hongal,15.8137,74.85895
Ballari,Ballari,15.15,76.55
Bangalore Rural,Bangalore Rural,13.22567,77.57501
Bangalore Urban,Bangalore Urban,13,77.58333
Bangarapet,Bangarapet,12.99116,78.17804
Bannūr,Bannūr,12.33295,76.86201
Bantvāl,Bantvāl,12.8905,75.03489
Basavakalyān,Basavakalyān,17.87445,76.94972
Basavana Bāgevādi,Basavana Bāgevādi,16.57278,75.97252
Bādāmi,Bādāmi,15.91495,75.67683
Bāgepalli,Bāgepalli,13.78338,77.79667
Bānāvar,Bānāvar,13.41029,76.16314
Bīdar,Bīdar,18.08333,77.33333
Belūr,Belūr,13.16558,75.86519
Belgaum,Belgaum,16.33333,74.75
Bellary,Bellary,15.14205,76.92398
Bellūru,Bellūru,12.9814,76.73308
Beltangadi,Beltangadi,13.98333,75.3
Bengaluru,Bengaluru,12.97194,77.59369
Bhadrāvati,Bhadrāvati,13.84846,75.70502
Bhatkal,Bhatkal,13.98534,74.55531
Bhālki,Bhālki,18.04348,77.206
Bijapur,Bijapur,16.82442,75.71537
Bijāpur,Bijāpur,16.66667,75.91667
Bilgi,Bilgi,16.34714,75.61804
Birūr,Birūr,13.59723,75.97167
Byādgi,Byādgi,14.67325,75.4868
Byndoor,Byndoor,13.86667,74.63333
Canacona,Canacona,14.9959,74.05056
Challakere,Challakere,14.318,76.65165
Chamrajnagar,Chamrajnagar,11.96,77.09
Channagiri,Channagiri,14.02399,75.92577
Channapatna,Channapatna,12.65143,77.20672
Channarāyapatna,Channarāyapatna,12.90642,76.38775
Chītāpur,Chītāpur,17.12357,77.0824
Chik Ballāpur,Chik Ballāpur,13.43512,77.72787
Chikkaballapur,Chikkaballapur,13.55,77.87
Chikmagalūr,Chikmagalūr,13.32231,75.774
Chikmagalur,Chikmagalur,13.49,75.73
Chiknāyakanhalli,Chiknāyakanhalli,13.41609,76.62063
Chikodi,Chikodi,16.42898,74.58591
Chincholi,Chincholi,17.46508,77.41874
Chintāmani,Chintāmani,13.40051,78.05172
Chitradurga,Chitradurga,14.2,76.5
Closepet,Closepet,12.72181,77.28149
Coondapoor,Coondapoor,13.63126,74.6902
Dakshina Kannada,Dakshina Kannada,12.84,75.29
Dandeli,Dandeli,15.26667,74.61667
Davanagere,Davanagere,14.43,75.9
Davangere,Davangere,14.46693,75.92694
Devanhalli,Devanhalli,13.24655,77.71183
Dharwad,Dharwad,15.37,75.14
Dod Ballāpur,Dod Ballāpur,13.29452,77.53777
French Rocks,French Rocks,12.50094,76.67416
Gadag,Gadag,15.49835,75.65187
Gadag-Betageri,Gadag-Betageri,15.4167,75.6167
Gajendragarh,Gajendragarh,15.73628,75.96976
Gangāwati,Gangāwati,15.4313,76.52933
Gangolli,Gangolli,13.65024,74.67072
Gokak,Gokak,16.16901,74.82393
Gokarna,Gokarna,14.55,74.31667
Gorūr,Gorūr,12.82297,76.06463
Goribidnūr,Goribidnūr,13.61072,77.51738
Gubbi,Gubbi,13.31216,76.94102
Gudibanda,Gudibanda,13.67099,77.70414
Gulbarga,Gulbarga,17.16667,77.08333
Guledagudda,Guledagudda,16.05025,75.78997
Gundlupēt,Gundlupēt,11.81004,76.69027
Gurmatkāl,Gurmatkāl,16.86773,77.39088
Hadagalli,Hadagalli,15.02048,75.93185
Haliyal,Haliyal,15.32864,74.75638
Hampi,Hampi,15.3352,76.4603
Harihar,Harihar,14.51288,75.80716
Harpanahalli,Harpanahalli,14.78766,75.98863
Hassan,Hassan,12.95,76.08333
Haveri,Haveri,14.73732,75.41062
Hāngal,Hāngal,14.76465,75.1246
Hāveri,Hāveri,14.79354,75.40448
Heggadadevankote,Heggadadevankote,12.08809,76.32957
Hirekerūr,Hirekerūr,14.45506,75.3952
Hiriyūr,Hiriyūr,13.94455,76.61723
Holalkere,Holalkere,14.04295,76.18496
Hole Narsipur,Hole Narsipur,12.78635,76.24331
Homnābād,Homnābād,17.77074,77.12519
Honāvar,Honāvar,14.28088,74.44497
Honnāli,Honnāli,14.23976,75.64507
Hosakote,Hosakote,14.27603,77.16827
Hosanagara,Hosanagara,13.91387,75.06503
Hosangadi,Hosangadi,13.69756,74.95427
Hosdurga,Hosdurga,13.79631,76.28408
Hoskote,Hoskote,13.0707,77.79814
Hospet,Hospet,15.26954,76.3871
Hubli,Hubli,15.34776,75.13378
Hukeri,Hukeri,16.23082,74.60244
Hungund,Hungund,16.06213,76.0586
Hunsūr,Hunsūr,12.30359,76.29275
Ilkal,Ilkal,15.95923,76.11351
Indi,Indi,17.17735,75.9526
Jagalūr,Jagalūr,14.51957,76.33915
Jamkhandi,Jamkhandi,16.50461,75.29146
Jevargi,Jevargi,17.01394,76.77317
Kadūr,Kadūr,13.55285,76.01164
Kalghatgi,Kalghatgi,15.18315,74.97099
Kampli,Kampli,15.40626,76.60013
Karwar,Karwar,14.81361,74.12972
Kavalūr,Kavalūr,15.28829,75.9433
Kānkānhalli,Kānkānhalli,12.54654,77.42005
Kārkala,Kārkala,13.21428,74.99234
Kūdligi,Kūdligi,14.905,76.38527
Kerūr,Kerūr,16.01384,75.54631
Khānāpur,Khānāpur,15.63969,74.50847
Kodagu,Kodagu,12.41667,75.75
Kodigenahalli,Kodigenahalli,13.72136,77.38629
Kodlipet,Kodlipet,12.80087,75.88662
Kolar,Kolar,13.13,78.23
Kolār,Kolār,13.13768,78.12999
Kollegāl,Kollegāl,12.15449,77.11051
Konanūr,Konanūr,12.63016,76.05037
Konnūr,Konnūr,16.20138,74.74886
Koppa,Koppa,13.53044,75.36329
Koppal,Koppal,15.5,76.2
Koratagere,Koratagere,13.522,77.2373
Kottūru,Kottūru,14.82442,76.22005
Krishnarājpet,Krishnarājpet,12.66621,76.4877
Kudachi,Kudachi,16.62784,74.85408
Kumsi,Kumsi,14.05455,75.39992
Kumta,Kumta,14.42853,74.4189
Kundgol,Kundgol,15.25612,75.24735
Kunigal,Kunigal,13.02319,77.02518
Kurgunta,Kurgunta,17.19321,77.35772
Kushālnagar,Kushālnagar,12.45795,75.95904
Kushtagi,Kushtagi,15.75623,76.19112
Lakshmeshwar,Lakshmeshwar,15.12689,75.46935
Lingsugūr,Lingsugūr,16.15876,76.52174
Londa,Londa,15.46907,74.51906
Maddagiri,Maddagiri,13.66035,77.21239
Maddūr,Maddūr,12.58283,77.04294
Madikeri,Madikeri,12.42602,75.7382
Mahālingpur,Mahālingpur,16.3888,75.10873
Malavalli,Malavalli,12.38556,77.06045
Malpe,Malpe,13.34962,74.70394
Mandya,Mandya,12.5223,76.89746
Mangalore,Mangalore,12.91723,74.85603
Manipal,Manipal,13.35,74.78333
Māgadi,Māgadi,12.95706,77.22374
Mālūr,Mālūr,13.00322,77.93798
Mānvi,Mānvi,15.99126,77.05034
Māyakonda,Māyakonda,14.28894,76.08305
Mūdbidri,Mūdbidri,13.06653,74.99525
Mūlki,Mūlki,13.09101,74.79353
Melukote,Melukote,12.66258,76.64861
Muddebihāl,Muddebihāl,16.33782,76.13173
Mudgal,Mudgal,16.01191,76.44203
Mudgere,Mudgere,13.13353,75.6416
Mudhol,Mudhol,16.33354,75.28305
Mulbāgal,Mulbāgal,13.16352,78.39346
Mulgund,Mulgund,15.2807,75.52132
Mundargi,Mundargi,15.20677,75.8839
Mundgod,Mundgod,14.97144,75.03658
Munirābād,Munirābād,15.30928,76.3383
Murudeshwara,Murudeshwara,14.0943,74.4845
Mysore,Mysore,12.23,76.42
Nanjangūd,Nanjangūd,12.11764,76.68397
Narasimharājapura,Narasimharājapura,13.61075,75.512
Naregal,Naregal,15.57316,75.80805
Nargund,Nargund,15.72299,75.38666
Navalgund,Navalgund,15.55877,75.35305
Nāgamangala,Nāgamangala,12.81939,76.75456
Nelamangala,Nelamangala,13.09978,77.39364
Nyāmti,Nyāmti,14.14869,75.57641
Pāngāla,Pāngāla,13.25,74.75
Pāvugada,Pāvugada,14.09953,77.28018
Piriyāpatna,Piriyāpatna,12.33497,76.10073
Ponnampet,Ponnampet,12.14473,75.94514
Puttūr,Puttūr,12.75975,75.20169
Rabkavi,Rabkavi,16.47567,75.1106
Raichur,Raichur,16.16,76.91
Ramanagara,Ramanagara,12.65,77.35
Rāichūr,Rāichūr,16.20546,77.35567
Rānībennur,Rānībennur,14.62239,75.62951
Rāybāg,Rāybāg,16.49178,74.77391
Robertsonpet,Robertsonpet,12.95629,78.27539
Ron,Ron,15.69935,75.73408
Sadalgi,Sadalgi,16.5587,74.53211
Sakleshpur,Sakleshpur,12.94119,75.78467
Sandūr,Sandūr,15.08613,76.54692
Sanivārsante,Sanivārsante,12.72824,75.88669
Sankeshwar,Sankeshwar,16.25649,74.48195
Sargūr,Sargūr,11.99971,76.39611
Saundatti,Saundatti,15.76615,75.11778
Savanūr,Savanūr,14.97335,75.33724
Sāgar,Sāgar,14.16498,75.02901
Sīra,Sīra,13.74155,76.9043
Seram,Seram,17.17859,77.28998
Shāhābād,Shāhābād,17.1307,76.94361
Shāhpur,Shāhpur,16.69605,76.8422
Shiggaon,Shiggaon,14.99053,75.22499
Shikārpur,Shikārpur,14.2698,75.35643
Shimoga,Shimoga,14.05,75.16
Shirhatti,Shirhatti,15.23352,75.57996
Shorāpur,Shorāpur,16.521,76.75738
Shrīrangapattana,Shrīrangapattana,12.42264,76.68439
Siddāpur,Siddāpur,14.34322,74.894
Sidlaghatta,Sidlaghatta,13.38896,77.86444
Sindgi,Sindgi,16.91883,76.23368
Sindhnūr,Sindhnūr,15.76983,76.75581
Sirsi,Sirsi,14.62072,74.83554
Siruguppa,Siruguppa,15.63,76.89217
Someshwar,Someshwar,13.49112,75.06646
Somvārpet,Somvārpet,12.59698,75.84957
Sorab,Sorab,14.38144,75.09183
Srāvana Belgola,Srāvana Belgola,12.85737,76.48886
Srīnivāspur,Srīnivāspur,13.33914,78.21175
Sringeri,Sringeri,13.41698,75.25271
Sulya,Sulya,12.561,75.38741
Suntikoppa,Suntikoppa,12.45594,75.8297
Tarikere,Tarikere,13.70954,75.81382
Tālīkota,Tālīkota,16.47311,76.31085
Tīrthahalli,Tīrthahalli,13.68835,75.24548
Tekkalakote,Tekkalakote,15.53444,76.87703
Terdāl,Terdāl,16.49379,75.04667
Tiptūr,Tiptūr,13.2563,76.47768
Tirumakūdal Narsipur,Tirumakūdal Narsipur,12.21207,76.9018
Tumkūr,Tumkūr,13.34136,77.1022
Tumkur,Tumkur,13.5,77
Turuvekere,Turuvekere,13.16374,76.66641
Udupi,Udupi,13.5,74.87
Ullal,Ullal,12.80569,74.86058
Uttar Kannada,Uttar Kannada,14.88333,74.58333
Vadigenhalli,Vadigenhalli,13.29724,77.80184
Vīrarājendrapet,Vīrarājendrapet,12.19644,75.80512
Wādi,Wādi,17.05183,76.99048
Yadgir,Yadgir,16.73,76.94
Yādgīr,Yādgīr,16.77007,77.13755
Yelahanka,Yelahanka,13.10073,77.59632
Yelandūr,Yelandūr,12.04629,77.03034
Yelbarga,Yelbarga,15.61545,76.01184
Yellāpur,Yellāpur,14.9637,74.70929
